what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1556960980070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1556960984320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1556960984504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1556960984663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1556960986941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1556960995536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1556960997979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556960998947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961003208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1556961005068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1556961005755
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1556961007865
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1556961009915
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1556961018080
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1556961022874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1556961025118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1556961025342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1556961025743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1556961026206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1556961026423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961026971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961041186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961041552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961044835
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1556961050020
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1556961053130
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1556961053256
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1556961058510
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1556961058687
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1556961058738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961058752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961059890
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1556961061219
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1556961061219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961072475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961077099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1556961080176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1556961081095
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1556961084268
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1556961088449
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1556961093679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961125984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961193730
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1556961195904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1556961202511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1556961203080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1556961203294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961204371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961205413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961205801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961230862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961231521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961254282
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1556961258699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1556961260671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1556961262074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1556961274433
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1556961278259
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1556961281177
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1556961282675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961284498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961298214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961316017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961316837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961317121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961317481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961317802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961318167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961321612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961360292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556961361475
