127.0.0.1 - - [20/May/2021:11:20:24 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/May/2021:11:20:28 +0530] "GET /AntiPhishingWeb/pages/index.jsp HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [20/May/2021:11:20:28 +0530] "GET /AntiPhishingWeb/theme/css/bootstrap.min.css HTTP/1.1" 200 153402
0:0:0:0:0:0:0:1 - - [20/May/2021:11:20:28 +0530] "GET /AntiPhishingWeb/theme/css/styles.css HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [20/May/2021:11:20:28 +0530] "GET /AntiPhishingWeb/theme/js/bootstrap.bundle.min.js HTTP/1.1" 200 80217
0:0:0:0:0:0:0:1 - - [20/May/2021:11:20:28 +0530] "GET /AntiPhishingWeb/theme/js/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [20/May/2021:11:20:42 +0530] "GET /AntiPhishingWeb/pages/index.jsp HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [20/May/2021:11:20:42 +0530] "GET /AntiPhishingWeb/theme/js/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [20/May/2021:11:20:42 +0530] "GET /AntiPhishingWeb/theme/css/styles.css HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [20/May/2021:11:20:42 +0530] "GET /AntiPhishingWeb/theme/css/bootstrap.min.css HTTP/1.1" 200 153402
0:0:0:0:0:0:0:1 - - [20/May/2021:11:20:42 +0530] "GET /AntiPhishingWeb/theme/js/bootstrap.bundle.min.js HTTP/1.1" 200 80217
0:0:0:0:0:0:0:1 - - [20/May/2021:11:20:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/May/2021:11:21:06 +0530] "POST /AntiPhishingWeb/connector/ajax.jsp?methodId=checkURL HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [20/May/2021:11:21:27 +0530] "POST /AntiPhishingWeb/connector/ajax.jsp?methodId=checkURL HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [20/May/2021:11:22:05 +0530] "POST /AntiPhishingWeb/connector/ajax.jsp?methodId=checkURL HTTP/1.1" 200 10
